"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-77-13",,,,"User:","ubuntu"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/006d803341a234a38621ab612e77220c1a0e03ac/A5_dstat.csv 5",,,,"Date:","08 Sep 2023 13:44:27 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1694180667,373252,30523488,29124,1064852,,,,,,,,0,0,0
1694180672,382084,30546864,29124,1033128,0.662,0.225,99.035,0,0,0,161.433,147957.708,6967.210,0,0,5100,4466,0.080,0.020,0.010
1694180677,382732,30540328,29124,1039016,0.050,0.038,99.901,0,0.025,0,0,1259951.488,30572.269,0,0,8959,6093,0.070,0.020,0
1694180682,382916,30534028,29136,1045076,0.063,0.025,99.888,0,0.013,0,56.800,1368112.674,32807.607,0,0,8110,6387,0.070,0.020,0
1694180687,385100,30526048,29136,1050704,0.350,0.137,99.474,0,0,0,0,1140484.627,29121.674,0,0,8445,6121,0.140,0.030,0.010
1694180692,385128,30517488,29136,1059024,0.038,0.025,99.851,0,0,0,0,1785441.956,42622.647,0,0,12268,8000,0.130,0.030,0.010
1694180697,381820,30515040,29136,1064632,0.050,0.063,99.867,0,0,0,12.005,1198715.906,29813.208,0,0,9197,6207,0.120,0.030,0.010
1694180702,382224,30514260,29136,1064988,0.300,0.112,99.558,0,0,0,9.596,77845.684,2820.400,0,0,2266,2007,0.110,0.030,0.010
1694180707,382712,30513764,29136,1064996,0.025,0,99.988,0.013,0,0,3152.021,286.202,239.402,0,0,732,879,0.100,0.030,0.010
1694180712,382704,30513764,29144,1064996,0.013,0,99.989,0,0,0,19.200,25.200,25.200,0,0,314,511,0.090,0.030,0.010
1694180717,382704,30513764,29144,1064996,0,0,99.974,0,0,0,3459.152,74.599,74.599,0,0,636,836,0.080,0.030,0.010
1694180722,382760,30513700,29144,1065004,0.037,0,99.937,0,0,0,0,377.999,381.799,0,0,506,887,0.080,0.030,0.010
1694180727,382760,30513700,29144,1065004,0.025,0,99.989,0,0,0,5.600,0,0,0,0,386,571,0.070,0.030,0.010
1694180732,381964,30514456,29144,1065040,0.012,0,99.975,0,0,0,72.000,8.400,8.400,0,0,311,541,0.070,0.030,0.010
1694180737,381936,30514480,29144,1065044,0.012,0.012,99.962,0,0.025,0,0.800,64.200,64.200,0,0,460,701,0.060,0.030,0
