"pcp-dstat 5.0.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-10-0-77-27",,,,"User:","ubuntu"
"Cmdline:","dstat --epoch -m --all -l --noheaders --nocolor --output hazelcast-simulator/workers/a8bf898368b726e7a82ddcacd0d2e25d725a6320/A2_dstat.csv 5",,,,"Date:","08 Sep 2023 13:33:56 UTC"
"epoch","memory usage",,,,"total usage",,,,,"dsk/total",,"net/total",,"paging",,"system",,"load avg",,
"epoch","used","free","buf","cach","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","in","out","int","csw","1m","5m","15m"
1694180036,369424,30528332,28684,1063168,,,,,,,,0.070,0.100,0.430
1694180041,377756,30553004,28684,1030708,0.662,0.287,99.060,0,0,0,177.416,118150.042,6825.708,0,0,4512,3645,0.070,0.100,0.420
1694180046,379440,30546224,28684,1035804,0.038,0.038,99.901,0,0,0,0,1119638.795,27485.612,0,0,8341,5461,0.060,0.090,0.420
1694180051,379748,30541184,28684,1040536,0.013,0.038,99.900,0,0,0,0,1043544.505,25173.260,0,0,8012,5354,0.060,0.090,0.420
1694180056,376436,30538984,28684,1045916,0.062,0.037,99.874,0,0,0,0,1059489.969,26492.119,0,0,8610,5841,0.050,0.090,0.420
1694180061,380064,30525912,28696,1055144,0.362,0.137,99.437,0,0.012,0,31.200,1984311.488,45992.542,0,0,14720,9420,0.050,0.090,0.410
1694180066,379592,30521156,28696,1060240,0.038,0.050,99.826,0,0,0,55.201,1085082.855,26157.724,0,0,8484,5756,0.040,0.090,0.410
1694180071,377032,30520536,28696,1063352,0.387,0.162,99.486,0,0,0,153.598,665925.875,17661.995,0,0,7069,5291,0.040,0.080,0.410
1694180076,1050348,29847108,28696,1063464,5.362,0.650,93.925,0,0,0,3015.993,5456.187,3543.591,0,0,30884,52663,0.440,0.170,0.430
1694180081,1061240,29836208,28696,1063472,0.438,0,99.600,0,0,0,0,708.802,811.602,0,0,2915,4768,0.400,0.160,0.430
1694180086,1063000,29834444,28696,1063476,0.050,0.025,99.900,0,0,0,0,384.401,964.002,0,0,1489,2265,0.370,0.160,0.430
1694180091,1081688,29815728,28704,1063496,1.050,0.087,98.762,0.012,0,0,3455.985,157457.307,40336.623,0,0,13744,20146,0.340,0.160,0.430
1694180096,2253864,28643544,28704,1063504,10.019,3.765,85.983,0,0,0,12.809,101936163.834,14804831.827,0,0,588476,636030,0.310,0.150,0.420
1694180101,2313412,28583996,28704,1063504,8.175,5.413,85.463,0,0.013,0,111.201,192256110.268,29620828.353,0,0,1173756,1278196,0.850,0.270,0.460
1694180106,2721084,28176320,28704,1063508,9.087,5.762,84.761,0,0,0,0,190355243.687,29195229.432,0,0,1146979,1250406,1.020,0.310,0.470
1694180111,4998312,25899092,28704,1063508,7.475,6.175,85.690,0,0,0,32.801,192961520.330,25953695.713,0,0,1047515,1094215,1.500,0.430,0.510
1694180116,7411020,23486380,28704,1063512,8.037,6.550,84.846,0,0,0,0,196003433.046,27559280.144,0,0,1104626,1155032,1.460,0.430,0.510
1694180121,9702544,21194848,28712,1063512,7.775,5.825,85.428,0,0.013,0,23.201,186973073.128,25615896.955,0,0,1046248,1104503,1.580,0.480,0.530
1694180126,12460596,18436760,28712,1063548,8.725,7.287,83.375,0,0,0,16.800,225214835.755,30790758.628,0,0,1193802,1262366,1.540,0.490,0.530
1694180131,15002832,15894524,28712,1063548,8.525,6.838,83.851,0,0.013,0,0,203547440.536,30347925.262,0,0,1177752,1241071,1.730,0.550,0.550
1694180136,16046452,14850896,28712,1063556,8.550,6.237,84.375,0,0,0,0,207965596.379,30981767.895,0,0,1229759,1308621,1.830,0.590,0.560
1694180141,16073236,14824120,28712,1063556,8.650,5.550,85.100,0,0.012,0,0,200572970.827,31414904.785,0,0,1228649,1330284,1.770,0.590,0.560
1694180146,16082676,14814680,28712,1063556,8.900,5.687,84.736,0,0.012,0,0,218626343.128,32733666.768,0,0,1261500,1390976,1.870,0.630,0.580
1694180151,16092420,14804936,28712,1063556,8.838,5.325,85.263,0,0,0,0,207351378.503,31296721.189,0,0,1226823,1335862,1.800,0.640,0.580
1694180156,16491424,14405916,28720,1063564,8.324,6.149,84.651,0,0.012,0,11.199,210720878.435,32286129.630,0,0,1233053,1364905,1.970,0.700,0.600
1694180161,16492516,14404824,28720,1063564,8.076,5.826,85.187,0,0,0,15.202,207712465.283,31351094.607,0,0,1230552,1330731,1.900,0.700,0.600
1694180166,16492580,14404756,28720,1063568,8.663,5.613,85.301,0,0,0,0,195288475.996,31556775.611,0,0,1235898,1332206,1.740,0.690,0.600
1694180171,16491636,14405700,28720,1063568,8.050,5.737,85.135,0,0,0,0,200697970.509,31601868.035,0,0,1243499,1339591,1.680,0.700,0.600
1694180176,16510832,14386504,28720,1063568,9.088,5.775,84.776,0,0.013,0,0,211356196.099,32345827.933,0,0,1263295,1364614,1.550,0.680,0.600
1694180181,16601736,14295600,28720,1063568,8.663,6.075,84.725,0,0,0,0,210553315.703,32280927.268,0,0,1259266,1356852,1.660,0.720,0.610
1694180186,16601992,14295292,28728,1063612,8.775,5.850,85.010,0,0,0,14.400,202529968.679,32170736.522,0,0,1252845,1352414,1.690,0.740,0.620
1694180191,16601620,14295664,28728,1063612,8.888,5.838,84.764,0,0,0,0,206556360.347,32400151.723,0,0,1258259,1362878,1.800,0.780,0.630
1694180196,16602172,14295108,28728,1063616,8.788,5.738,84.901,0,0.013,0,1.600,210345206.071,32364350.786,0,0,1260348,1358546,2.050,0.850,0.650
1694180201,16602948,14294332,28728,1063616,8.250,5.712,85.262,0,0,0,4.000,201986346.306,32439893.969,0,0,1218930,1361173,2.130,0.890,0.670
1694180206,16601560,14295720,28728,1063616,9.113,6.038,84.900,0,0,0,0,209474980.280,32756308.630,0,0,1251134,1364622,2.280,0.940,0.680
1694180211,16606760,14290520,28728,1063616,8.562,5.450,85.750,0,0,0,0,190473353.611,30234608.106,0,0,1193664,1292355,2.420,0.990,0.700
1694180216,16605152,14292116,28736,1063620,3.410,2.461,93.886,0,0,0,20.786,84318663.472,13247064.902,0,0,500840,550862,2.220,0.970,0.700
1694180221,16606252,14291016,28736,1063620,0.075,0,99.938,0,0.013,0,8.800,1775.002,1275.001,0,0,1568,2447,2.050,0.960,0.690
1694180226,16606820,14290440,28736,1063628,0.100,0,99.888,0,0,0,0,9509.413,9575.213,0,0,2395,3186,1.880,0.940,0.690
1694180231,9812976,21084264,28736,1063648,0.488,0.275,99.131,0,0,0,0.801,107976.665,37254.900,0,0,11500,13453,1.730,0.930,0.690
1694180236,383588,30513680,28736,1063620,0.012,0.350,99.593,0,0,0,5.596,174.678,249.426,0,0,777,694,1.590,0.910,0.680
1694180241,383588,30513680,28736,1063620,0,0,100.001,0,0,0,0,0,0,0,0,304,487,1.460,0.890,0.680
1694180246,383420,30513836,28744,1063624,0.012,0.025,99.949,0,0,0,14.400,82.999,82.999,0,0,617,815,1.350,0.880,0.680
1694180251,383420,30513836,28744,1063624,0,0,99.988,0,0,0,0,0,0,0,0,298,502,1.240,0.860,0.670
1694180256,383312,30513892,28744,1063676,0.012,0,100.000,0,0,0,4.000,74.600,74.600,0,0,389,597,1.140,0.850,0.670
1694180261,383312,30513892,28744,1063676,0,0,99.987,0,0,0,0,0,0,0,0,285,480,1.050,0.840,0.660
1694180266,383308,30513892,28744,1063680,0.012,0.012,99.987,0,0,0,4.800,64.200,64.200,0,0,318,486,0.960,0.820,0.660
1694180271,383308,30513892,28744,1063680,0.013,0,99.988,0,0.013,0,0,0,0,0,0,304,499,0.890,0.810,0.660
1694180276,383296,30513892,28752,1063684,0.012,0,99.961,0,0,0,20.000,74.599,74.599,0,0,503,772,0.810,0.790,0.650
1694180281,383296,30513892,28752,1063684,0,0,99.976,0,0,0,13.600,0,0,0,0,354,533,0.750,0.780,0.650
1694180286,383296,30513892,28752,1063684,0.012,0,100.000,0,0,0,5.600,74.600,74.600,0,0,335,520,0.690,0.770,0.640
1694180291,383296,30513892,28752,1063684,0,0.012,99.987,0,0,0,2.400,0,0,0,0,423,587,0.630,0.750,0.640
1694180296,383296,30513892,28752,1063684,0.013,0,99.988,0,0,0,5.600,74.600,74.600,0,0,353,538,0.580,0.740,0.640
1694180301,383296,30513892,28752,1063684,0.013,0,100.001,0,0,0,1.600,8.400,8.400,0,0,280,461,0.540,0.730,0.630
1694180306,383296,30513892,28760,1063676,0,0.012,99.949,0.012,0,0,16.000,64.199,64.199,0,0,779,1109,0.490,0.720,0.630
1694180311,383296,30513892,28760,1063676,0,0,100.001,0,0,0,10.400,0,0,0,0,297,480,0.450,0.700,0.630
1694180316,383220,30513916,28760,1063728,0.012,0,99.987,0,0,0,0,64.200,64.200,0,0,366,568,0.420,0.690,0.620
1694180321,383220,30513916,28760,1063728,0,0,99.988,0,0,0,0,0,0,0,0,292,500,0.380,0.680,0.620
1694180326,386492,30510640,28760,1063732,0.025,0,99.975,0,0,0,0,64.200,64.200,0,0,303,484,0.350,0.670,0.620
1694180331,383460,30513664,28768,1063732,0,0,99.962,0,0.012,0,11.200,0,0,0,0,313,496,0.320,0.660,0.610
